;;;;;;;;
UF;Município;Código Escola no INEP;CNPJ;Entidade;Segmento;Número de Alunos;Categoria;Conveniada
BA;CAMACARI;29458978;14848214000127;INSTITUICAO FILANTROPICA FAMILIA FELIZ;PRÉ-ESCOLA INTEGRAL CONVENIADA ESPECIAL; 1 ;Filantrópica;Municipal
BA;CAMACARI;29458978;14848214000127;INSTITUICAO FILANTROPICA FAMILIA FELIZ;CRECHE PARCIAL CONVENIADA; 68 ;Filantrópica;Municipal
BA;CAMACARI;29458978;14848214000127;INSTITUICAO FILANTROPICA FAMILIA FELIZ;PRÉ-ESCOLA PARCIAL CONVENIADA; 74 ;Filantrópica;Municipal
BA;CAMACARI;29458978;14848214000127;INSTITUICAO FILANTROPICA FAMILIA FELIZ;EDUCAÇÃO ESPECIAL CONVENIADA - CRECHE ; 2 ;Filantrópica;Municipal
BA;CAMACARI;29458978;14848214000127;INSTITUICAO FILANTROPICA FAMILIA FELIZ;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 7 ;Filantrópica;Municipal
BA;CANAVIEIRAS;29447372;5834208000120;CRECHE JARDIM DOS ANJOS;CRECHE INTEGRAL CONVENIADA; 25 ;Filantrópica;Municipal
BA;CANAVIEIRAS;29447372;5834208000120;CRECHE JARDIM DOS ANJOS;PRÉ-ESCOLA INTEGRAL CONVENIADA; 28 ;Filantrópica;Municipal
BA;CANAVIEIRAS;29478421;;ESCOLA RAIO DE SOL - APAE;EDUCAÇÃO ESPECIAL CONVENIADA - EJA FUNDAMENTAL ; 60 ;Filantrópica;Municipal
BA;CICERO DANTAS;29504007;;ESCOLINHA ESPERANCA;CRECHE PARCIAL CONVENIADA; 16 ;Filantrópica;Municipal
BA;CICERO DANTAS;29504007;;ESCOLINHA ESPERANCA;PRÉ-ESCOLA PARCIAL CONVENIADA; 16 ;Filantrópica;Municipal
BA;CICERO DANTAS;29504007;;ESCOLINHA ESPERANCA;EDUCAÇÃO ESPECIAL CONVENIADA - CRECHE ; 1 ;Filantrópica;Municipal
BA;CICERO DANTAS;29504007;;ESCOLINHA ESPERANCA;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 2 ;Filantrópica;Municipal
BA;CICERO DANTAS;29503604;22637846000170;ESCOLINHA IRMA LORENZINA;CRECHE PARCIAL CONVENIADA; 14 ;Filantrópica;Municipal
