 ANEXO V ;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de Agosto de 2026;;;;;;;;;;;;;;;;
 Cronograma de Desembolso da Complementação da União-VAAT ao Fundeb no Ano de 2026 (art. 16, § 2º da Lei nº 14.113/2020) ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;"Janeiro do
Ano Seguinte";Total
AL;FLEXEIRAS;2702801; 217.606,36 ; 239.366,99 ; 261.127,63 ; 282.888,27 ; 305.305,61 ; 326.101,59 ; 326.101,59 ; 347.841,70 ; 349.477,42 ; 349.476,99 ; 349.476,99 ; 349.476,99 ; 645.621,88 ; 4.349.870,01 
AL;GIRAU DO PONCIANO;2702900; 344.240,09 ; 378.664,11 ; 413.088,12 ; 447.512,13 ; 482.413,28 ; 515.273,01 ; 515.273,01 ; 549.624,54 ; 593.775,17 ; 593.774,43 ; 593.774,43 ; 593.774,43 ; 1.096.935,58 ; 7.118.122,33 
AL;IBATEGUARA;2703007; 1.132.438,36 ; 1.245.682,20 ; 1.358.926,04 ; 1.472.169,87 ; 1.589.567,25 ; 1.697.841,09 ; 1.697.841,09 ; 1.811.030,50 ; 1.823.811,06 ; 1.823.808,80 ; 1.823.808,80 ; 1.823.808,80 ; 3.369.294,29 ; 22.670.028,15 
AL;IGACI;2703106; 850.665,74 ; 935.732,31 ; 1.020.798,89 ; 1.105.865,46 ; 1.193.917,07 ; 1.275.241,08 ; 1.275.241,08 ; 1.360.257,15 ; 1.369.717,86 ; 1.369.716,17 ; 1.369.716,17 ; 1.369.716,17 ; 2.530.406,08 ; 17.026.991,23 
AL;IGREJA NOVA;2703205; 802.547,21 ; 882.801,93 ; 963.056,66 ; 1.043.311,38 ; 1.126.311,42 ; 1.203.030,45 ; 1.203.030,45 ; 1.283.232,48 ; 1.325.504,74 ; 1.325.503,09 ; 1.325.503,09 ; 1.325.503,09 ; 2.448.727,10 ; 16.258.063,09 
AL;INHAPI;2703304; 837.539,14 ; 921.293,05 ; 1.005.046,97 ; 1.088.800,88 ; 1.175.449,56 ; 1.255.515,66 ; 1.255.515,66 ; 1.339.216,70 ; 1.359.201,51 ; 1.359.199,83 ; 1.359.199,83 ; 1.359.199,83 ; 2.510.978,24 ; 16.826.156,86 
AL;JACARE DOS HOMENS;2703403; 582.309,82 ; 640.540,80 ; 698.771,78 ; 757.002,76 ; 817.332,49 ; 873.005,33 ; 873.005,33 ; 931.205,69 ; 934.812,00 ; 934.810,84 ; 934.810,84 ; 934.810,84 ; 1.726.964,38 ; 11.639.382,90 
AL;JACUIPE;2703502; 3.978,52 ; 4.376,38 ; 4.774,23 ; 5.172,08 ; 5.462,04 ; 5.834,08 ; 5.834,08 ; 6.223,02 ; 5.940,36 ; 5.940,35 ; 5.940,35 ; 5.940,35 ; 10.974,22 ; 76.390,06 
AL;JAPARATINGA;2703601; 286.405,14 ; 315.045,65 ; 343.686,17 ; 372.326,68 ; 401.909,81 ; 429.286,01 ; 429.286,01 ; 457.905,08 ; 461.373,58 ; 461.373,01 ; 461.373,01 ; 461.373,01 ; 852.337,96 ; 5.733.681,12 
AL;JARAMATAIA;2703700; 236.522,46 ; 260.174,71 ; 283.826,96 ; 307.479,20 ; 331.945,07 ; 354.555,61 ; 354.555,61 ; 378.192,65 ; 379.503,30 ; 379.502,83 ; 379.502,83 ; 379.502,83 ; 701.091,44 ; 4.726.355,50 
AL;JEQUIA DA PRAIA;2703759; 157.525,08 ; 173.277,59 ; 189.030,09 ; 204.782,60 ; 220.964,39 ; 236.015,44 ; 236.015,44 ; 251.749,81 ; 252.380,84 ; 252.380,52 ; 252.380,52 ; 252.380,52 ; 466.246,42 ; 3.145.129,26 
AL;JOAQUIM GOMES;2703809; 491.941,36 ; 541.135,49 ; 590.329,63 ; 639.523,76 ; 690.384,86 ; 737.410,62 ; 737.410,62 ; 786.571,33 ; 789.196,97 ; 789.196,00 ; 789.196,00 ; 789.196,00 ; 1.457.956,31 ; 9.829.448,95 
AL;JUNDIA;2703908; 234.925,53 ; 258.418,08 ; 281.910,64 ; 305.403,19 ; 329.684,06 ; 352.140,59 ; 352.140,59 ; 375.616,62 ; 376.839,79 ; 376.839,32 ; 376.839,32 ; 376.839,32 ; 696.170,93 ; 4.693.767,98 
AL;JUNQUEIRO;2704005; 654.473,04 ; 719.920,35 ; 785.367,65 ; 850.814,95 ; 918.441,08 ; 981.000,96 ; 981.000,96 ; 1.046.401,02 ; 1.055.528,05 ; 1.055.526,75 ; 1.055.526,75 ; 1.055.526,75 ; 1.949.974,27 ; 13.109.502,58 
AL;LAGOA DA CANOA;2704104; 419.313,81 ; 461.245,19 ; 503.176,57 ; 545.107,95 ; 588.253,42 ; 628.322,48 ; 628.322,48 ; 670.210,64 ; 671.628,06 ; 671.627,23 ; 671.627,23 ; 671.627,23 ; 1.240.760,42 ; 8.371.222,71 
AL;LIMOEIRO DE ANADIA;2704203; 2.811.755,01 ; 3.092.930,51 ; 3.374.106,01 ; 3.655.281,52 ; 3.946.799,45 ; 4.215.636,86 ; 4.215.636,86 ; 4.496.679,32 ; 4.518.819,59 ; 4.518.814,00 ; 4.518.814,00 ; 4.518.814,00 ; 8.348.032,06 ; 56.232.119,19 
AL;MAJOR ISIDORO;2704401; 865.718,81 ; 952.290,69 ; 1.038.862,57 ; 1.125.434,45 ; 1.215.016,14 ; 1.297.777,33 ; 1.297.777,33 ; 1.384.295,81 ; 1.389.219,21 ; 1.389.217,49 ; 1.389.217,49 ; 1.389.217,49 ; 2.566.432,74 ; 17.300.477,55 
AL;MAR VERMELHO;2704906; 52.097,94 ; 57.307,73 ; 62.517,53 ; 67.727,32 ; 73.083,70 ; 78.061,82 ; 78.061,82 ; 83.265,94 ; 83.425,14 ; 83.425,03 ; 83.425,03 ; 83.425,03 ; 154.118,99 ; 1.039.943,02 
AL;MARAGOGI;2704500; 491.848,73 ; 541.033,61 ; 590.218,48 ; 639.403,35 ; 689.991,38 ; 736.990,34 ; 736.990,34 ; 786.123,03 ; 789.802,91 ; 789.801,93 ; 789.801,93 ; 789.801,93 ; 1.459.075,73 ; 9.830.883,69 
AL;MARAVILHA;2704609; 652.812,22 ; 718.093,44 ; 783.374,67 ; 848.655,89 ; 916.225,42 ; 978.634,39 ; 978.634,39 ; 1.043.876,68 ; 1.047.663,50 ; 1.047.662,21 ; 1.047.662,21 ; 1.047.662,21 ; 1.935.445,36 ; 13.046.402,59 
AL;MARECHAL DEODORO;2704708; 1.086.543,13 ; 1.195.197,45 ; 1.303.851,76 ; 1.412.506,07 ; 1.524.441,90 ; 1.628.279,70 ; 1.628.279,70 ; 1.736.831,68 ; 1.859.872,64 ; 1.859.870,34 ; 1.859.870,34 ; 1.859.870,34 ; 3.435.914,18 ; 22.391.329,23 
AL;MARIBONDO;2704807; 460.056,69 ; 506.062,35 ; 552.068,02 ; 598.073,69 ; 645.703,47 ; 689.685,76 ; 689.685,76 ; 735.664,81 ; 738.379,03 ; 738.378,12 ; 738.378,12 ; 738.378,12 ; 1.364.075,65 ; 9.194.589,59 
AL;MATA GRANDE;2705002; 542.425,22 ; 596.667,74 ; 650.910,26 ; 705.152,78 ; 761.122,00 ; 812.966,04 ; 812.966,04 ; 867.163,78 ; 877.874,33 ; 877.873,24 ; 877.873,24 ; 877.873,24 ; 1.621.778,18 ; 10.882.646,09 
AL;MATRIZ DE CAMARAGIBE;2705101; 520.390,56 ; 572.429,61 ; 624.468,67 ; 676.507,72 ; 730.209,10 ; 779.947,50 ; 779.947,50 ; 831.944,00 ; 857.052,37 ; 857.051,31 ; 857.051,31 ; 857.051,31 ; 1.583.311,82 ; 10.527.362,78 
AL;MESSIAS;2705200; 445.604,70 ; 490.165,17 ; 534.725,64 ; 579.286,11 ; 625.326,27 ; 667.920,55 ; 667.920,55 ; 712.448,59 ; 741.667,87 ; 741.666,95 ; 741.666,95 ; 741.666,95 ; 1.370.151,43 ; 9.060.217,73 
AL;MINADOR DO NEGRAO;2705309; 192.963,57 ; 212.259,93 ; 231.556,29 ; 250.852,65 ; 270.781,21 ; 289.225,56 ; 289.225,56 ; 308.507,26 ; 309.451,21 ; 309.450,83 ; 309.450,83 ; 309.450,83 ; 571.677,80 ; 3.854.853,53 
AL;MONTEIROPOLIS;2705408; 610.517,80 ; 671.569,58 ; 732.621,36 ; 793.673,14 ; 856.931,32 ; 915.301,45 ; 915.301,45 ; 976.321,54 ; 983.371,62 ; 983.370,40 ; 983.370,40 ; 983.370,40 ; 1.816.673,02 ; 12.222.393,48 
AL;MURICI;2705507; 1.200.332,67 ; 1.320.365,93 ; 1.440.399,20 ; 1.560.432,47 ; 1.684.625,52 ; 1.799.374,28 ; 1.799.374,28 ; 1.919.332,57 ; 1.930.206,24 ; 1.930.203,85 ; 1.930.203,85 ; 1.930.203,85 ; 3.565.847,93 ; 24.010.902,64 
AL;NOVO LINO;2705606; 361.705,48 ; 397.876,03 ; 434.046,58 ; 470.217,13 ; 507.531,06 ; 542.101,69 ; 542.101,69 ; 578.241,81 ; 581.241,32 ; 581.240,60 ; 581.240,60 ; 581.240,60 ; 1.073.780,65 ; 7.232.565,24 
AL;OLHO DAGUA DAS FLORES;2705705; 704.710,99 ; 775.182,08 ; 845.653,18 ; 916.124,28 ; 989.024,16 ; 1.056.391,84 ; 1.056.391,84 ; 1.126.817,96 ; 1.170.553,31 ; 1.170.551,86 ; 1.170.551,86 ; 1.170.551,86 ; 2.162.471,04 ; 14.314.976,26 
AL;OLHO DAGUA DO CASADO;2705804; 432.280,48 ; 475.508,52 ; 518.736,57 ; 561.964,62 ; 606.725,62 ; 648.052,92 ; 648.052,92 ; 691.256,45 ; 696.155,29 ; 696.154,42 ; 696.154,42 ; 696.154,42 ; 1.286.071,83 ; 8.653.268,48 
