;;;;;;;;
ESCOLAS DE EDUCAÇÃO PROFISSIONAL E MATRÍCULAS CONSIDERADAS NO FUNDEB 2026;;;;;;;;
UF;Município;Código da Escola no INEP;CNPJ;Entidade;Segmento;Categoria;Conveniada; Número de Alunos 
AC;SENADOR GUIOMARD;12014605;;ESC SANTO IZIDORO;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;31,00
AC;TARAUACA;12005711;;ESC DR DJALMA DA CUNHA BATISTA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;346,00
AC;TARAUACA;12005894;;ESC JOAO RIBEIRO;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;86,00
AC;TARAUACA;12005894;;ESC JOAO RIBEIRO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;226,00
AC;ACRELANDIA;12021768;;ESC MARCILIO PONTES DOS SANTOS;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL SISTEMA S;Pública;Não se aplica;1,00
AC;ACRELANDIA;12021768;;ESC MARCILIO PONTES DOS SANTOS;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;346,00
AC;ACRELANDIA;12128236;;ESC FAMILIA AGRICOLA JEAN PIERRE MINGAN;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;109,00
AC;ACRELANDIA;12128236;;ESC FAMILIA AGRICOLA JEAN PIERRE MINGAN;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL PÚBLICA ALTERNÂNCIA;Pública;Não se aplica;109,00
AC;ASSIS BRASIL;12015946;;ESC PROFª IRIS CELIA CABANELLAS ZANNINI;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;297,00
AC;BRASILEIA;12016284;;ESC KAIRALA JOSE KAIRALA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (MATRÍCULA ÚNICA ITINERÁRIO+FGB);Pública;Não se aplica;342,00
