Categorias e Variáveis (Métrica e dimensões);Detalhes;Categorias Implementada no Extrator;Categorias Internas do Banco de Dados;Varáveis Disponíveis no Banco de Dados;Variáveis Internas do Banco de Dados
D23 - Setor de Atividade;Nome do setor da atividade principal do empreendimento no trabalho principal da semana de referência;Mal Definidos;MALDE;ATIVI;ATIVI
D23 - Setor de Atividade;Nome do setor da atividade principal do empreendimento no trabalho principal da semana de referência;Outros;OUTRO;ATIVI;ATIVI
D23 - Setor de Atividade;Nome do setor da atividade principal do empreendimento no trabalho principal da semana de referência;Serviços;SERVI;ATIVI;ATIVI
D23 - Setor de Atividade;Nome do setor da atividade principal do empreendimento no trabalho principal da semana de referência;Transporte;TRANS;ATIVI;ATIVI
D01 - Área (Urbana ou Rural);Situação Censitária (Urbana ou Rural);Rural;RUR;AREA;AREA
D01 - Área (Urbana ou Rural);Situação Censitária (Urbana ou Rural);Urbana;URB;AREA;AREA
D07 - Estado no Mercado de Trabalho;Estado no Mercado de Trabalho (Ocupado, Desemregado (30 dias), Inativo e Criança);Não Aplicável;....;ESTADO;ESTADO
D07 - Estado no Mercado de Trabalho;Estado no Mercado de Trabalho (Ocupado, Desemregado (30 dias), Inativo e Criança);Criança;CRIA;ESTADO;ESTADO
D07 - Estado no Mercado de Trabalho;Estado no Mercado de Trabalho (Ocupado, Desemregado (30 dias), Inativo e Criança);Desempregado (30 dias);DESE;ESTADO;ESTADO
D07 - Estado no Mercado de Trabalho;Estado no Mercado de Trabalho (Ocupado, Desemregado (30 dias), Inativo e Criança);Inativo;INAT;ESTADO;ESTADO
D07 - Estado no Mercado de Trabalho;Estado no Mercado de Trabalho (Ocupado, Desemregado (30 dias), Inativo e Criança);Ocupado;OCUP;ESTADO;ESTADO
D12 - Condição de Ocupação;Condição de ocupação na semana de referência para pessoas de 10 anos ou mais de idade;Não se Aplica;;OCUP_IBGE;OCUP_IBGE
D12 - Condição de Ocupação;Condição de ocupação na semana de referência para pessoas de 10 anos ou mais de idade;Desocupado;DESO;OCUP_IBGE;OCUP_IBGE
